site.Country;site.LatDD;site.LongDD;site.SiteName;site.SiteCODE;sample.SampleCODE;ecofig.Aquatics;ecofig.Carrion;ecofig.Disturbed/arable;ecofig.Dry dead wood;ecofig.Dung/foul habitats;ecofig.General synanthropic;ecofig.Halotolerant;ecofig.Heathland & moorland;ecofig.Indicators: Coniferous;ecofig.Indicators: Deciduous;ecofig.Indicators: Dung;ecofig.Indicators: Running water;ecofig.Indicators: Standing water;ecofig.Meadowland;ecofig.Mould beetles;ecofig.Open wet habitats;ecofig.Pasture/Dung;ecofig.Sandy/dry disturbed/arable;ecofig.Stored grain pest;ecofig.Wetlands/marshes;ecofig.Wood and trees;sample.CalAgeEarliest;sample.CalAgeLatest;sample.Total Of Abundance
England;54.12472;-1.491944;Ripon;SITE000487;SAMP001299;16.52;0.87;2.61;0;6.09;1.74;5.22;4.35;0;0;0;0.87;5.22;12.17;0.87;2.61;2.61;5.22;0;21.74;11.3;11243;10793;115
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005752;69.23;0;0;0;0;0;0;0;0;0;0;0;7.69;0;0;0;0;0;0;23.08;0;11242;11152;13
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004279;7.41;7.41;3.7;0;7.41;3.7;7.41;7.41;0;0;0;0;0;11.11;0;3.7;7.41;3.7;0;14.81;14.81;11236;10798;27
England;52.54333;-1.691667;Lea Marston B;SITE000342;SAMP000872;10.77;2.05;5.13;0;5.64;3.08;4.1;3.59;0;1.03;0;1.54;0.51;9.23;1.54;4.1;3.08;5.64;0.51;19.49;18.97;11230;10250;195
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003994;4.9;1.96;7.84;0;3.92;0.98;3.92;13.73;0;0;0;0;1.96;14.71;0;2.94;4.9;6.86;0;18.63;12.75;11228;10262;102
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000451;0;3.45;6.9;0;6.9;3.45;6.9;17.24;0;0;0;0;0;17.24;0;6.9;3.45;10.34;0;10.34;6.9;11227;9794;29
England;52.54333;-1.691667;Lea Marston B;SITE000342;SAMP000873;10.17;1.27;5.93;0;4.24;3.81;4.66;6.78;0;1.27;0;1.69;1.27;11.02;0.85;2.54;2.54;5.93;0;20.34;15.68;11205;10235;236
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006185;10.13;2.53;5.06;0;1.27;3.8;3.8;8.86;0;0;1.27;0;2.53;12.66;0;3.8;6.33;6.33;0;16.46;15.19;11200;10702;79
Sweden;55.71667;14.2;Hanobukten;SITE000256;SAMP000586;21.74;0;4.35;0;0;0;4.35;8.7;0;0;0;4.35;4.35;8.7;0;4.35;0;4.35;0;13.04;21.74;11194;10673;23
England;54.48722;-3.599167;St. Bees;SITE000557;SAMP003993;8.54;1.22;8.54;0;3.66;1.22;2.44;12.2;0;0;0;0;1.22;13.41;0;4.88;2.44;6.1;0;20.73;13.41;11189;10162;82
