site.Country;site.LatDD;site.LongDD;site.SiteName;site.SiteCODE;sample.SampleCODE;ecofig.Aquatics;ecofig.Carrion;ecofig.Disturbed/arable;ecofig.Dry dead wood;ecofig.Dung/foul habitats;ecofig.General synanthropic;ecofig.Halotolerant;ecofig.Heathland & moorland;ecofig.Indicators: Coniferous;ecofig.Indicators: Deciduous;ecofig.Indicators: Dung;ecofig.Indicators: Running water;ecofig.Indicators: Standing water;ecofig.Meadowland;ecofig.Mould beetles;ecofig.Open wet habitats;ecofig.Pasture/Dung;ecofig.Sandy/dry disturbed/arable;ecofig.Stored grain pest;ecofig.Wetlands/marshes;ecofig.Wood and trees;sample.CalAgeEarliest;sample.CalAgeLatest;sample.Total Of Abundance
France;49.08333;0.2;Havre;SITE000262;SAMP000627;7.27;1.82;5.45;0;7.27;3.64;9.09;5.45;0;0;0;0;0;7.27;0;7.27;3.64;3.64;0;30.91;7.27;9126;8327;55
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005186;7.5;5;2.5;0;10;5;5;7.5;0;0;0;0;0;12.5;0;5;5;2.5;0;22.5;10;9018;8727;40
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005187;20.83;4.17;2.08;0;8.33;4.17;2.08;4.17;0;0;0;0;4.17;8.33;0;4.17;4.17;4.17;0;20.83;8.33;9018;8657;48
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005188;10.13;3.8;2.53;0;7.59;5.06;5.06;7.59;0;0;0;1.27;2.53;11.39;1.27;5.06;3.8;3.8;0;18.99;10.13;8999;8656;79
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004350;3.03;0;3.03;0;3.03;0;0;12.12;0;0;0;0;3.03;12.12;0;6.06;0;6.06;0;36.36;15.15;8980;8430;33
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003075;5.5;1.83;6.42;0.92;1.83;3.67;5.5;10.09;1.83;0;0.92;0;0;12.84;0;3.67;3.67;8.26;0;11.93;21.1;8979;8406;109
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006192;4.08;2.04;4.08;0;2.04;2.04;8.16;16.33;0;0;2.04;0;0;6.12;0;4.08;10.2;6.12;0;18.37;14.29;8976;8414;49
Faroes;62.15;-6.763333;Skalafjordur;SITE000538;SAMP002564;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;50;0;8971;8420;2
Faroes;62.15;-6.763333;Skalafjordur;SITE000538;SAMP002565;0;11.11;0;0;11.11;11.11;11.11;11.11;0;0;0;0;0;11.11;0;0;11.11;0;0;11.11;11.11;8971;8420;9
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000447;6.67;6.67;6.67;0;6.67;6.67;6.67;6.67;0;0;0;0;0;6.67;0;13.33;6.67;13.33;0;6.67;6.67;8855;7695;15
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004269;11.11;1.85;3.7;0;3.7;3.7;5.56;7.41;1.85;0;1.85;0;1.85;9.26;1.85;3.7;5.56;5.56;0;12.96;18.52;8750;8450;54
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000243;7.04;1.41;4.23;0;9.86;1.41;5.63;12.68;0;0;1.41;0;0;11.27;1.41;4.23;7.04;4.23;0;14.08;14.08;8643;8523;71
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004349;3.23;0;0;0;6.45;0;0;12.9;0;0;0;0;3.23;16.13;0;6.45;3.23;3.23;0;32.26;12.9;8636;8200;31
England;51.75056;-1.435;Mingies Ditch 1;SITE000396;SAMP001044;10.83;2.08;5;0.83;5.42;3.75;4.58;5;0;3.33;0;2.5;0.42;7.5;1.25;2.92;2.92;3.33;0;22.5;15.83;8548;8203;240
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004268;5.66;5.66;1.89;0;7.55;5.66;5.66;5.66;1.89;0;0;1.89;1.89;9.43;1.89;3.77;7.55;3.77;0;11.32;18.87;8542;8375;53
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006193;9.09;2.27;4.55;0;2.27;4.55;4.55;9.09;4.55;0;2.27;0;0;9.09;0;2.27;6.82;4.55;0;15.91;18.18;8537;8184;44
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005185;12.5;3.13;3.13;0;8.33;5.21;5.21;6.25;0;0;0;0;3.13;11.46;1.04;3.13;3.13;3.13;0;18.75;12.5;8449;8200;96
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004348;0;0;0;0;5.88;0;0;5.88;0;0;0;0;0;11.76;0;5.88;0;0;0;52.94;17.65;8423;8027;17
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004267;13.04;2.17;4.35;0;6.52;8.7;4.35;4.35;2.17;0;2.17;0;2.17;10.87;2.17;2.17;2.17;4.35;0;10.87;17.39;8376;8187;46
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006194;2.7;2.7;2.7;0;4.05;2.7;8.11;10.81;1.35;0;1.35;0;0;13.51;0;5.41;8.11;4.05;0;16.22;16.22;8348;7999;74
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004347;0;0;0;0;7.69;0;0;7.69;0;0;0;0;0;7.69;0;7.69;0;0;0;53.85;15.38;8329;7873;13
England;53.95667;-1.091667;Bedale;SITE000944;SAMP005184;15.79;5.26;5.26;5.26;5.26;5.26;5.26;0;0;0;0;0;0;5.26;0;5.26;5.26;10.53;0;15.79;10.53;8299;8023;19
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005744;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;8295;8030;1
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004266;12.5;2.08;2.08;0;6.25;6.25;4.17;4.17;4.17;0;2.08;2.08;2.08;12.5;0;4.17;4.17;4.17;0;10.42;16.67;8193;8000;48
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006195;1.61;3.23;6.45;0;1.61;6.45;6.45;11.29;0;0;3.23;0;0;11.29;0;3.23;8.06;8.06;0;12.9;16.13;8163;7795;62
Scotland;60.05222;-1.360833;Clettnadal;SITE000133;SAMP000242;7.14;2.38;4.76;0;9.52;2.38;7.14;4.76;0;0;0;0;0;11.9;0;4.76;9.52;2.38;0;21.43;11.9;7959;7844;42
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004265;8.93;3.57;1.79;0;5.36;7.14;5.36;5.36;1.79;1.79;1.79;0;0;16.07;1.79;3.57;3.57;3.57;0;8.93;19.64;7935;7705;56
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006196;5.36;1.79;5.36;0;3.57;3.57;5.36;8.93;0;0;1.79;0;0;14.29;0;3.57;7.14;7.14;0;16.07;16.07;7935;7620;56
England;54.41512;-3.483896;Sellafield;SITE001084;SAMP005745;4.17;4.17;8.33;0;4.17;8.33;8.33;4.17;0;0;0;0;0;8.33;0;8.33;4.17;8.33;0;16.67;12.5;7934;7745;24
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003078;4.88;2.44;5.69;0.81;2.44;2.44;3.25;8.94;3.25;0.81;2.44;0;0;11.38;0;3.25;4.88;6.5;0;15.45;21.14;7840;6938;123
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000445;3.45;3.45;10.34;0;3.45;3.45;6.9;13.79;0;0;0;0;0;10.34;0;6.9;3.45;13.79;0;13.79;6.9;7832;6796;29
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006197;9.72;2.78;4.17;1.39;2.78;4.17;6.94;9.72;0;1.39;1.39;0;2.78;12.5;0;2.78;6.94;5.56;0;12.5;12.5;7718;7435;72
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004264;7.02;5.26;3.51;0;7.02;3.51;5.26;8.77;1.75;0;0;0;0;10.53;0;3.51;7.02;5.26;0;14.04;17.54;7695;7523;57
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003076;5.88;0;3.53;1.18;1.18;1.18;2.35;11.76;3.53;0;1.18;0;1.18;14.12;0;2.35;1.18;4.71;0;18.82;25.88;7619;7258;85
England;51.75056;-1.435;Mingies Ditch 1;SITE000396;SAMP001045;9.22;2.13;3.55;1.06;4.96;3.9;3.55;3.19;0;3.9;0;2.48;0.71;8.87;1.77;1.77;3.19;2.13;0;17.02;26.6;7577;7306;282
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004263;6.56;1.64;3.28;0;6.56;6.56;6.56;4.92;1.64;0;1.64;0;1.64;9.84;3.28;3.28;4.92;4.92;0;13.11;19.67;7571;7431;61
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006198;4.11;2.74;4.11;0;4.11;2.74;5.48;13.7;0;0;1.37;0;0;13.7;0;2.74;6.85;6.85;0;13.7;17.81;7569;7276;73
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004262;7.89;2.63;5.26;0;5.26;5.26;5.26;5.26;2.63;0;2.63;0;0;13.16;0;5.26;5.26;7.89;0;10.53;15.79;7429;7269;38
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006199;8.33;0;0;0;5.56;0;2.78;16.67;0;0;2.78;0;2.78;11.11;0;2.78;8.33;5.56;0;13.89;19.44;7424;7011;36
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004261;8.77;3.51;5.26;0;5.26;3.51;7.02;8.77;1.75;0;0;1.75;1.75;12.28;0;3.51;5.26;7.02;0;10.53;14.04;7277;7008;57
England;51.4021;0.2456096;Horton Kirby, South Darenth;SITE000974;SAMP005359;7.14;3.57;3.57;3.57;5.36;0;1.79;3.57;0;3.57;0;7.14;0;12.5;0;0;5.36;0;0;12.5;30.36;7243;7014;56
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006200;4.76;3.17;4.76;0;6.35;3.17;4.76;9.52;0;0;1.59;0;0;14.29;0;3.17;9.52;6.35;0;11.11;17.46;7165;6720;63
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004260;5.08;5.08;3.39;0;8.47;6.78;6.78;5.08;1.69;1.69;0;0;0;11.86;1.69;3.39;5.08;5.08;0;10.17;18.64;7157;6799;59
France;45.04333;5.929167;Taillefer Massif;SITE000588;SAMP003077;4.96;0.83;5.79;0;1.65;4.96;4.13;9.92;3.31;0;0.83;0;2.48;9.92;1.65;1.65;2.48;7.44;0.83;14.05;23.14;6955;6415;121
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004259;7.81;3.13;6.25;0;4.69;6.25;4.69;6.25;1.56;0;1.56;0;1.56;12.5;0;3.13;3.13;6.25;1.56;12.5;17.19;6881;6640;64
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005228;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6715;6307;1
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006201;8.96;4.48;2.99;0;4.48;2.99;7.46;8.96;0;0;1.49;0;1.49;10.45;0;4.48;7.46;4.48;0;14.93;14.93;6669;6309;67
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004258;7.14;4.29;1.43;1.43;10;7.14;4.29;7.14;2.86;0;1.43;1.43;1.43;7.14;1.43;2.86;5.71;2.86;1.43;10;18.57;6659;6415;70
Wales;52.91083;-4.298889;Glanllynnau;SITE000234;SAMP000444;6.9;3.45;6.9;0;3.45;3.45;3.45;10.34;0;0;0;0;0;6.9;0;13.79;3.45;13.79;0;13.79;10.34;6635;5486;29
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004256;11.36;4.55;2.27;0;6.82;4.55;2.27;6.82;2.27;0;2.27;0;2.27;11.36;0;2.27;6.82;2.27;0;11.36;20.45;6630;6321;44
England;51.57481;-2.588401;Awkley;SITE001234;SAMP006817;3.57;3.57;3.57;0;10.71;7.14;3.57;7.14;0;0;0;0;0;10.71;0;7.14;3.57;3.57;0;21.43;14.29;6479;6298;28
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004257;9.23;3.08;1.54;0;7.69;4.62;4.62;4.62;3.08;0;0;0;3.08;9.23;0;3.08;6.15;3.08;0;13.85;23.08;6446;6286;65
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005226;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6405;6000;1
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004346;1.52;3.03;1.52;0;6.06;3.03;4.55;9.09;0;1.52;0;0;0;9.09;0;6.06;4.55;3.03;0;27.27;19.7;6317;5910;66
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005225;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6281;5925;1
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006202;8.97;5.13;3.85;0;6.41;3.85;5.13;10.26;0;0;1.28;0;1.28;10.26;0;2.56;8.97;5.13;0;11.54;15.38;6276;5914;78
Scotland;56.38334;-3.35;Kinfauns;SITE000854;SAMP004093;0;0;0;33.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.67;6208;5664;6
England;50.94154;0.203414;Bexley: Crossness;SITE000975;SAMP005362;25;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;50;0;6206;5941;4
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005224;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6191;5729;1
Sweden;65.83334;15;Hemavan;SITE000875;SAMP004345;0;2.44;4.88;0;4.88;2.44;4.88;2.44;0;2.44;0;0;0;14.63;0;4.88;7.32;2.44;0;29.27;17.07;6183;5661;41
England;52.32169;-0.607596;Stanwick, Northants.;SITE001141;SAMP006166;15.38;0;2.56;0;5.13;0;7.69;7.69;0;0;0;5.13;0;12.82;0;2.56;7.69;2.56;0;20.51;10.26;5992;5751;39
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004255;9.62;3.85;1.92;0;5.77;5.77;5.77;5.77;1.92;0;1.92;0;1.92;9.62;1.92;3.85;3.85;3.85;0;11.54;21.15;5986;5664;52
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005223;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5985;5604;3
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005222;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5900;5474;2
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006203;7.14;4.08;5.1;0;6.12;3.06;7.14;12.24;0;0;1.02;0;0;12.24;0;3.06;8.16;4.08;0;13.27;13.27;5887;5330;98
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004254;6;4;4;0;6;2;6;8;4;0;0;0;0;8;2;2;6;4;0;16;22;5745;5473;50
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002683;6.06;3.03;3.03;0;9.09;0;12.12;3.03;0;0;0;0;0;0;0;3.03;6.06;3.03;0;39.39;12.12;5731;5585;33
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006206;13.73;1.96;3.92;0;5.88;3.92;7.84;5.88;1.96;0;3.92;0;1.96;9.8;0;5.88;7.84;5.88;0;5.88;13.73;5719;4893;51
England;52.56833;-1.735833;Croft;SITE000149;SAMP004081;9.86;2.35;5.63;1.41;6.1;4.23;5.16;5.63;0;1.41;0;1.88;1.41;10.33;0.47;2.35;5.16;4.69;0;14.55;17.37;5714;4880;213
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;5708;5473;3
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002681;21.74;0;0;0;4.35;0;8.7;0;0;0;0;0;8.7;4.35;0;4.35;4.35;0;0;39.13;4.35;5644;5334;23
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002684;12.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;12.5;5644;5330;8
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002680;20;0;0;0;0;0;10;0;0;0;0;0;10;0;0;0;0;0;0;60;0;5594;5327;10
England;51.51885;0.0582;Beckton: Woolwich Manor Way;SITE000977;SAMP005368;16.25;1.25;2.5;1.25;1.25;0;1.25;1.25;0;6.25;1.25;1.25;8.75;2.5;0;2.5;1.25;2.5;0;27.5;21.25;5586;5470;80
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002679;20;0;0;0;6.67;0;6.67;0;0;0;0;0;13.33;6.67;0;0;0;0;0;46.67;0;5584;5322;15
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004253;8;2.67;2.67;0;5.33;6.67;5.33;4;2.67;0;2.67;0;1.33;10.67;1.33;2.67;5.33;4;1.33;13.33;20;5584;5319;75
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002678;10;0;0;0;0;5;0;0;0;0;0;0;0;10;5;5;0;0;0;50;15;5578;5311;20
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002677;27.78;0;0;0;5.56;0;11.11;0;0;0;0;0;5.56;5.56;0;5.56;0;0;0;38.89;0;5573;5085;18
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005219;20;0;0;0;0;0;0;20;0;0;0;0;0;20;0;0;0;0;0;20;20;5457;4875;5
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002676;14.29;0;0;0;14.29;0;14.29;0;0;0;0;0;0;14.29;0;14.29;0;0;0;28.57;0;5450;5051;7
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006204;9.23;3.08;4.62;0;4.62;4.62;4.62;10.77;1.54;0;1.54;0;0;13.85;1.54;3.08;6.15;4.62;0;9.23;16.92;5447;4876;65
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004252;10.61;1.52;3.03;0;6.06;4.55;6.06;7.58;3.03;0;1.52;0;3.03;10.61;1.52;4.55;4.55;3.03;0;10.61;18.18;5445;4975;66
England;51.13945;-2.796111;Baker site;SITE000039;SAMP000046;18.46;2.31;2.31;2.31;5.38;2.31;3.08;4.62;0;3.08;0;0;4.62;6.15;0.77;3.08;3.85;3.85;0;19.23;14.62;5434;4979;130
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002675;14.81;0;0;0;14.81;0;3.7;0;0;0;0;0;7.41;14.81;0;11.11;3.7;0;0;25.93;3.7;5319;5042;27
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002674;5.88;0;8.82;0;5.88;0;5.88;2.94;0;0;0;0;0;11.76;0;8.82;0;8.82;0;26.47;14.71;5304;4976;34
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005218;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5293;4840;1
England;53.45;-0.8986111;Misterton Carr;SITE000400;SAMP003658;0;0;0;14.29;0;0;0;0;0;21.43;0;0;0;0;0;0;0;0;0;7.14;57.14;5290;4626;14
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002673;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;25;0;0;0;50;0;5286;4877;4
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002672;28.57;0;0;0;0;0;14.29;0;0;0;0;0;14.29;0;0;14.29;0;0;0;28.57;0;5274;4855;7
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004251;7.5;5;2.5;0;7.5;5;7.5;7.5;2.5;0;0;0;2.5;5;0;5;10;5;2.5;10;15;5274;4835;40
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005217;50;0;0;0;0;0;0;25;0;0;0;0;0;25;0;0;0;0;0;0;0;5214;4525;4
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006205;7.81;3.13;3.13;0;6.25;1.56;4.69;12.5;0;1.56;1.56;0;1.56;14.06;0;3.13;6.25;3.13;0;10.94;18.75;5045;4529;64
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002671;7.41;0;7.41;0;7.41;0;7.41;0;0;0;0;0;0;11.11;0;11.11;0;7.41;0;29.63;11.11;5040;4844;27
France;43.4;5.93333;Tourves;SITE000759;SAMP003256;17.14;2.86;5.71;0;5.71;2.86;5.71;5.71;0;0;0;0;2.86;8.57;0;2.86;2.86;5.71;0;22.86;8.57;5040;4821;35
England;51.57481;-2.588401;Awkley;SITE001234;SAMP006818;8.11;0;2.7;0;10.81;2.7;8.11;8.11;0;0;0;0;2.7;10.81;0;8.11;2.7;2.7;0;18.92;13.51;5039;4645;37
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002670;25;0;0;0;0;0;25;0;0;0;0;0;0;0;0;25;0;0;0;25;0;5035;4823;4
England;51.14667;-2.787778;Rowlands Track;SITE000494;SAMP001312;0;5;5;0;5;5;5;20;0;0;0;0;0;10;0;5;5;5;0;20;10;4972;4447;20
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002669;33.33;0;0;0;0;0;16.67;0;0;0;0;0;16.67;0;0;16.67;0;0;0;16.67;0;4962;4645;6
England;52.34195;-0.5688889;West Cotton;SITE000648;SAMP006513;9.48;1.9;8.06;0.95;6.64;2.84;3.79;4.74;0;0.95;0;1.9;0.47;10.43;0.95;1.9;6.16;5.69;0;16.59;16.59;4876;4710;211
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002668;7.41;0;7.41;0;0;3.7;11.11;0;0;3.7;0;0;3.7;7.41;3.7;3.7;0;7.41;0;25.93;14.81;4858;4589;27
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004250;13.04;2.17;2.17;0;6.52;6.52;6.52;4.35;2.17;0;2.17;2.17;4.35;10.87;0;6.52;4.35;4.35;0;8.7;13.04;4854;4537;46
England;50.69222;-1.286389;New Shide Bridge;SITE000417;SAMP001118;4.76;4.76;4.76;2.38;9.52;2.38;4.76;7.14;0;2.38;0;0;0;9.52;0;4.76;7.14;2.38;0;16.67;16.67;4848;4578;42
England;51.53614;-2.641392;Pilning;SITE001235;SAMP006819;12.5;0;0;0;12.5;0;0;12.5;0;0;0;0;0;12.5;0;0;12.5;0;0;25;12.5;4847;4569;8
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005216;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4846;4436;1
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002667;0;0;10.81;0;2.7;2.7;13.51;2.7;0;0;0;0;0;10.81;0;10.81;2.7;10.81;0;24.32;8.11;4838;4572;37
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002666;8.57;0;5.71;0;11.43;0;8.57;0;0;0;0;0;2.86;14.29;0;11.43;5.71;5.71;0;20;5.71;4822;4527;35
England;50.94154;0.203414;Bexley: Crossness;SITE000975;SAMP005363;13.33;0;0;0;0;0;0;0;0;6.67;0;0;6.67;0;0;0;0;0;0;60;13.33;4822;4437;15
Wales;51.55;-2.85;Redwick;SITE000708;SAMP001276;20;0;0;0;0;0;4;12;0;0;0;0;16;4;0;4;0;0;0;28;12;4821;4441;25
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005215;11.76;5.88;5.88;0;5.88;5.88;5.88;5.88;0;0;0;0;0;11.76;0;5.88;5.88;5.88;0;11.76;11.76;4820;4184;17
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002665;8.7;0;8.7;0;0;4.35;8.7;0;0;0;0;0;0;13.04;4.35;4.35;0;8.7;0;26.09;13.04;4813;4436;23
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004249;4.29;2.86;4.29;0;5.71;4.29;8.57;8.57;1.43;0;0;1.43;1.43;10;1.43;2.86;7.14;5.71;0;14.29;15.71;4809;4297;70
England;52.35278;0.4125;Isleham;SITE000294;SAMP000714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;4804;4249;1
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006207;10;4;6;0;4;4;6;8;0;0;2;0;0;12;0;4;4;4;0;16;16;4803;3845;50
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002664;7.55;0;5.66;0;7.55;3.77;7.55;5.66;0;0;0;0;1.89;13.21;1.89;7.55;1.89;7.55;0;16.98;11.32;4798;4414;53
England;52.85278;-1.361111;Aston on Trent;SITE000933;SAMP005077;53.85;1.1;0;0;4.4;1.1;0;0;0;0;2.2;9.89;14.29;0;0;0;7.69;0;0;5.49;0;4785;4442;91
England;52.34195;-0.5688889;West Cotton;SITE000648;SAMP006515;10.4;2.97;8.91;0.5;6.44;2.97;3.96;4.46;0;1.49;0;1.49;1.49;12.87;0.99;1.98;4.95;5.94;0;13.86;14.36;4784;4258;202
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002663;14.29;0;9.52;0;0;0;4.76;0;0;0;0;0;4.76;9.52;0;9.52;0;9.52;0;33.33;4.76;4574;4295;21
England;51.50449;0.1569758;Bexley: Norman Road;SITE000976;SAMP005366;16.67;0;0;3.33;3.33;0;3.33;0;0;0;0;6.67;3.33;6.67;0;0;3.33;0;0;33.33;20;4569;4417;30
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005214;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4524;3992;1
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002662;10.34;0;10.34;0;0;0;10.34;6.9;0;0;0;0;0;10.34;0;3.45;0;10.34;0;24.14;13.79;4519;4245;29
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002661;20;0;4;0;0;0;8;4;0;4;0;0;8;8;0;4;0;4;0;28;8;4434;4157;25
France;44.05778;7.457222;Lac Long Inferior, Vallée des Merveilles;SITE000795;SAMP004248;6.67;5;1.67;0;8.33;6.67;8.33;5;3.33;0;1.67;0;1.67;8.33;1.67;5;6.67;5;0;10;15;4420;4090;60
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002660;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;25;0;0;0;50;0;4415;4149;4
France;44.78361;6.288611;Lac des Lauzons;SITE001143;SAMP006208;16.67;2.08;4.17;0;2.08;4.17;6.25;8.33;0;0;2.08;0;2.08;10.42;0;6.25;4.17;6.25;0;12.5;12.5;4412;3610;48
England;51.183;-2.827592;Abbots Way;SITE000766;SAMP002659;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;25;0;0;0;50;0;4406;4011;4
Iceland;64.33334;-15.66667;Skálafellsjökull;SITE000958;SAMP005213;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;4406;3875;4
England;53.90047;-2.902456;Pilling Moss: Brook Farm;SITE001164;SAMP006373;6.52;2.17;5.43;0;3.26;2.17;3.26;5.43;0;0;0;0;1.09;11.96;0;3.26;2.17;6.52;0;30.43;16.3;4405;3981;92
England;52.45472;-0.1458333;Ramsey Heights;SITE000478;SAMP001235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;4404;3726;1
